"","Open","High","Low","Close"
"2016-01-04",76.059998,76.379997,75.010002,75.699997
"2016-01-05",76.25,76.510002,75.540001,76.269997
"2016-01-06",75,75.849998,74.849998,75.269997
"2016-01-07",73.760002,75.089996,73.349998,73.790001
"2016-01-08",74.059998,74.510002,72.75,72.879997
"2016-01-11",73.110001,74.080002,72.660004,73.919998
"2016-01-12",74.519997,75,74.019997,74.760002
"2016-01-13",75.269997,75.389999,72.989998,73.099998
"2016-01-14",73.150002,74.519997,72.660004,73.800003
"2016-01-15",71.940002,72.949997,70.660004,71.830002
"2016-01-19",72.940002,73.019997,70.660004,71.389999
"2016-01-20",69.959999,71.410004,69.040001,70.68
"2016-01-21",70.720001,72.330002,70.099998,71.559998
"2016-01-22",72.669998,73.18,72.129997,72.699997
"2016-01-25",72.760002,72.910004,71.580002,71.739998
"2016-01-26",72.18,72.269997,71.550003,71.879997
"2016-01-27",71.980003,72.480003,70.580002,70.910004
"2016-01-28",71.419998,71.849998,69.330002,69.330002
"2016-01-29",70.43,74.5,68.760002,74.489998
"2016-02-01",74.080002,74.779999,73.25,74.379997
"2016-02-02",73.5,74.209999,73.129997,73.400002
"2016-02-03",73.760002,74.629997,72.43,74.379997
"2016-02-04",74.099998,74.629997,72.760002,73.68
"2016-02-05",73.559998,73.610001,70.550003,71.540001
"2016-02-08",69.949997,70.040001,66.300003,67.769997
"2016-02-09",66.389999,69.480003,66.120003,68.330002
"2016-02-10",69.139999,71.029999,69.07,70.150002
"2016-02-11",67.790001,69.07,67.43,68.470001
"2016-02-12",69.440002,70.470001,69.120003,70.419998
"2016-02-16",71.410004,71.75,70.400002,71.099998
"2016-02-17",71.730003,72.120003,71.300003,72.029999
"2016-02-18",71.889999,72.25,71.019997,71.239998
"2016-02-19",71.029999,71.720001,70.300003,71.529999
"2016-02-22",72.279999,73.190002,72.099998,73.059998
"2016-02-23",72.949997,73.120003,71.989998,72.150002
"2016-02-24",71.25,72.190002,70.379997,71.849998
"2016-02-25",71.959999,73.339996,71.940002,73.269997
"2016-02-26",73.739998,73.910004,72.690002,72.730003
"2016-02-29",72.860001,73.900002,72.389999,72.389999
"2016-03-01",72.989998,74.639999,72.900002,74.639999
"2016-03-02",74.5,74.599998,73.660004,74.300003
"2016-03-03",74.480003,74.5,73.360001,73.910004
"2016-03-04",74.220001,74.25,73.610001,73.900002
"2016-03-07",73.389999,73.449997,71.349998,71.940002
"2016-03-08",71.5,71.519997,70.510002,70.620003
"2016-03-09",71,71.080002,69.900002,70.68
"2016-03-10",71.139999,71.400002,69.580002,70.220001
"2016-03-11",71.150002,72.010002,70.68,71.629997
"2016-03-14",71.599998,71.720001,70.949997,71.489998
"2016-03-15",71.18,71.910004,70.660004,71.910004
"2016-03-16",71.68,72.830002,71.510002,72.370003
"2016-03-17",72.279999,73.669998,72.169998,73.139999
"2016-03-18",73.5,74.099998,73.129997,73.779999
"2016-03-21",73.580002,73.940002,73.150002,73.769997
"2016-03-22",73.239998,73.650002,72.93,72.959999
"2016-03-23",72.949997,74.169998,72.769997,73.910004
"2016-03-24",73.650002,74.160004,73.410004,74.139999
"2016-03-28",74.139999,74.269997,73.720001,74.080002
"2016-03-29",74.019997,75.589996,73.919998,75.379997
"2016-03-30",75.900002,77,75.839996,76.779999
"2016-03-31",76.620003,76.919998,75.949997,76.480003
"2016-04-01",76.25,78.25,75.800003,77.589996
"2016-04-04",77.970001,78.309998,77.529999,77.830002
"2016-04-05",77.139999,77.470001,76.580002,76.970001
"2016-04-06",77.080002,78.279999,77,78.209999
"2016-04-07",77.709999,77.980003,77.190002,77.580002
"2016-04-08",78.080002,78.620003,77.809998,78.029999
"2016-04-11",78.360001,78.779999,77.769997,77.82
"2016-04-12",77.720001,78.550003,77.650002,78.519997
"2016-04-13",79.029999,79.93,78.910004,79.709999
"2016-04-14",79.760002,80.669998,79.309998,80.330002
"2016-04-15",80.25,80.690002,79.900002,80.080002
"2016-04-18",80.199997,81.550003,79.830002,81.449997
"2016-04-19",81.5,81.730003,80.370003,80.75
"2016-04-20",80.879997,81.639999,80.550003,81.150002
"2016-04-21",81.5,81.669998,80.68,80.790001
"2016-04-22",78,79.360001,77.279999,79.110001
"2016-04-25",78.690002,78.839996,77.82,78.139999
"2016-04-26",78.449997,78.699997,78.110001,78.529999
"2016-04-27",78.410004,79,78.169998,78.760002
"2016-04-28",78.349998,79.269997,77.599998,77.68
"2016-04-29",77.519997,78.010002,76.860001,77.239998
"2016-05-02",77.809998,78.470001,77.160004,78.459999
"2016-05-03",77.43,78.360001,76.93,77.190002
"2016-05-04",76.559998,77.379997,76.349998,77.07
