"","Open","High","Low","Close"
"2016-01-04",63.950001,64.059998,63.009998,63.619999
"2016-01-05",63.700001,64.129997,63.040001,63.73
"2016-01-06",62.720001,63.130001,62.34,62.810001
"2016-01-07",61.459999,62,60.080002,60.27
"2016-01-08",61.130001,61.27,58.849998,58.919998
"2016-01-11",58.830002,59.220001,58.040001,58.830002
"2016-01-12",59.450001,59.560001,58.099998,58.959999
"2016-01-13",59.459999,59.68,56.91,57.34
"2016-01-14",58.16,59.380001,57.290001,58.200001
"2016-01-15",56.450001,57.57,56.220001,57.040001
"2016-01-19",57.73,57.970001,56.509998,57.009998
"2016-01-20",55.630001,56.18,54.66,55.509998
"2016-01-21",55.740002,56.52,55.060001,55.25
"2016-01-22",56.439999,57.16,56.299999,56.950001
"2016-01-25",56.48,56.849998,55.599998,55.66
"2016-01-26",55.849998,57.150002,55.810001,57.080002
"2016-01-27",57.080002,58.27,56.560001,57.040001
"2016-01-28",57.52,57.970001,56.630001,57.279999
"2016-01-29",57.830002,59.540001,57.509998,59.5
"2016-02-01",59.16,59.650002,58.439999,58.860001
"2016-02-02",57.880001,57.98,56.75,57.029999
"2016-02-03",57.369999,57.799999,55.02,57.41
"2016-02-04",57.060001,58.52,57.060001,58.400002
"2016-02-05",58.580002,59.139999,57.419998,57.75
"2016-02-08",56.689999,56.919998,55.540001,56.540001
"2016-02-09",55.290001,56.689999,55.130001,56.200001
"2016-02-10",56.57,57.41,55.470001,55.52
"2016-02-11",53.900002,53.91,52.5,53.07
"2016-02-12",55.650002,57.57,55.169998,57.490002
"2016-02-16",58.23,58.599998,57.639999,58.349998
"2016-02-17",58.849998,59.25,58.389999,58.77
"2016-02-18",58.84,58.860001,57.25,57.810001
"2016-02-19",57.5,58.169998,57.080002,57.82
"2016-02-22",58.509998,58.880001,58.419998,58.57
"2016-02-23",57.900002,58.09,55.959999,56.119999
"2016-02-24",55.200001,56.209999,54.330002,56.139999
"2016-02-25",56.130001,57.029999,56.040001,57.009998
"2016-02-26",57.639999,58.110001,57.139999,57.540001
"2016-02-29",57.41,57.610001,56.290001,56.299999
"2016-03-01",56.759998,59.200001,56.669998,59.200001
"2016-03-02",59.200001,59.900002,58.959999,59.759998
"2016-03-03",59.580002,59.959999,59.099998,59.959999
"2016-03-04",60.099998,60.549999,59.529999,60.049999
"2016-03-07",59.540001,60.049999,59.32,59.939999
"2016-03-08",59.209999,59.5,58.68,58.779999
"2016-03-09",59.150002,59.540001,58.68,59.119999
"2016-03-10",59.59,59.669998,57.810001,58.610001
"2016-03-11",59.389999,59.509998,58.650002,59.34
"2016-03-14",59.150002,59.310001,58.599998,59.119999
"2016-03-15",58.540001,59.209999,58.43,59.200001
"2016-03-16",58.98,59.75,58.470001,58.919998
"2016-03-17",58.77,59.130001,57.990002,58.75
"2016-03-18",60.049999,60.970001,59.66,60.48
"2016-03-21",60.220001,60.82,59.959999,60.459999
"2016-03-22",59.990002,60.580002,59.619999,60.240002
"2016-03-23",60.34,60.509998,59.860001,59.939999
"2016-03-24",59.299999,59.509998,58.869999,59.48
"2016-03-28",59.529999,59.75,59.18,59.400002
"2016-03-29",59.330002,59.330002,58.529999,59.029999
"2016-03-30",59.459999,60.23,59.380001,59.709999
"2016-03-31",59.450001,59.93,59.110001,59.220001
"2016-04-01",59.02,60.060001,58.560001,59.869999
"2016-04-04",59.439999,59.57,58.959999,59.200001
"2016-04-05",58.59,58.830002,58.209999,58.360001
"2016-04-06",58.18,58.880001,57.950001,58.810001
"2016-04-07",58.259998,58.43,57.07,57.32
"2016-04-08",57.709999,58.580002,57.689999,57.740002
"2016-04-11",57.91,58.880001,57.91,58.200001
"2016-04-12",58.34,59.389999,58.200001,59.279999
"2016-04-13",60.48,62.16,60.380001,61.790001
"2016-04-14",61.689999,62.91,61.610001,62.59
"2016-04-15",62.880001,62.900002,61.450001,61.869999
"2016-04-18",61.639999,62.580002,61.529999,62.27
"2016-04-19",62.549999,63.48,62.549999,63.32
"2016-04-20",63.48,64.309998,63.150002,64.239998
"2016-04-21",64.260002,64.660004,63.34,63.599998
"2016-04-22",63.639999,64.379997,63.639999,63.970001
"2016-04-25",63.599998,63.950001,63.150002,63.599998
"2016-04-26",63.810001,64.07,63.330002,63.93
"2016-04-27",63.860001,64.639999,63.599998,64.110001
"2016-04-28",63.639999,64.419998,63.349998,63.599998
"2016-04-29",63.09,63.610001,62.700001,63.200001
"2016-05-02",63.689999,64,63.139999,63.790001
"2016-05-03",62.900002,62.91,61.799999,62.560001
"2016-05-04",61.75,62.259998,61.27,61.57
