"","Open","High","Low","Close"
"2016-01-04",103.120003,103.43,101.730003,102.980003
"2016-01-05",102.669998,102.669998,99.889999,100.900002
"2016-01-06",99.379997,101.459999,99.360001,100.360001
"2016-01-07",98.959999,101.349998,98.519997,99.5
"2016-01-08",100.629997,100.919998,99,99.25
"2016-01-11",100.209999,100.449997,98.550003,99.919998
"2016-01-12",100.970001,101.849998,100.339996,101.459999
"2016-01-13",101.879997,101.879997,98.120003,98.480003
"2016-01-14",98.650002,99.910004,97.190002,99.110001
"2016-01-15",95.620003,96.879997,93.459999,93.900002
"2016-01-19",95,95.07,93.029999,93.970001
"2016-01-20",92.18,93.639999,90.419998,92.540001
"2016-01-21",92.870003,94.860001,92.300003,94.019997
"2016-01-22",95.949997,97.419998,95.550003,96.900002
"2016-01-25",96.419998,96.68,95.120003,95.290001
"2016-01-26",95.489998,96.43,95.089996,96.269997
"2016-01-27",96.309998,96.629997,93.870003,94.32
"2016-01-28",95.199997,95.199997,92.370003,93.529999
"2016-01-29",94.209999,95.82,93.629997,95.82
"2016-02-01",95.080002,95.709999,94.699997,95.150002
"2016-02-02",94,94.169998,92.870003,93.120003
"2016-02-03",94.099998,95.410004,92.419998,95.139999
"2016-02-04",94.870003,96.730003,94.599998,95.43
"2016-02-05",95.32,95.389999,93.470001,93.900002
"2016-02-08",92.559998,92.959999,89.510002,92.120003
"2016-02-09",90.150002,93.199997,89.040001,92.32
"2016-02-10",88,90.029999,86.25,88.849998
"2016-02-11",87,91.059998,86.959999,90.309998
"2016-02-12",91.519997,91.589996,89.610001,91.150002
"2016-02-16",92.470001,93.309998,91.790001,92.910004
"2016-02-17",93.669998,96.440002,93.559998,95.5
"2016-02-18",96.339996,96.449997,94.449997,95.169998
"2016-02-19",95.230003,95.720001,94.559998,95.010002
"2016-02-22",95.010002,97,95.010002,96.370003
"2016-02-23",96.5,96.82,95.150002,95.379997
"2016-02-24",94.650002,95.75,93.230003,95.43
"2016-02-25",95.919998,95.949997,94.349998,95.650002
"2016-02-26",95.709999,96.220001,95.279999,95.309998
"2016-02-29",95.309998,96.290001,95.230003,95.519997
"2016-03-01",95.900002,97.660004,95.529999,97.650002
"2016-03-02",97.669998,97.830002,96.410004,97
"2016-03-03",97.790001,98.839996,96.889999,98.82
"2016-03-04",99,99.209999,97.900002,98.480003
"2016-03-07",98.57,99.709999,98.480003,99.389999
"2016-03-08",98.93,98.980003,97.599998,97.82
"2016-03-09",98,98.239998,96.809998,97.660004
"2016-03-10",97.940002,98.419998,95.870003,97.040001
"2016-03-11",97.57,98.349998,97.540001,97.940002
"2016-03-14",97.940002,99.220001,97.839996,98.809998
"2016-03-15",98.019997,98.330002,97.389999,98.239998
"2016-03-16",98.160004,99.080002,97.470001,98.440002
"2016-03-17",98.279999,99.910004,98.279999,99.599998
"2016-03-18",99.980003,100.150002,98.959999,99.199997
"2016-03-21",98.919998,99.120003,97.699997,98.459999
"2016-03-22",97.589996,98.32,97.440002,97.580002
"2016-03-23",97.720001,97.849998,96.75,96.830002
"2016-03-24",96.550003,97.489998,96.300003,97.220001
"2016-03-28",97.5,98.459999,97.449997,98.089996
"2016-03-29",98,98.370003,97.360001,98.160004
"2016-03-30",98.900002,99.089996,98.349998,98.910004
"2016-03-31",99.010002,100.370003,99.010002,99.309998
"2016-04-01",98.800003,99.339996,98.580002,99.07
"2016-04-04",99.300003,99.440002,98.580002,98.68
"2016-04-05",96.849998,97.610001,96.150002,97
"2016-04-06",96.959999,97.629997,96.830002,97.480003
"2016-04-07",97.110001,97.419998,95.919998,96.160004
"2016-04-08",96.629997,96.839996,95.800003,96.419998
"2016-04-11",96.93,97.639999,96.199997,96.269997
"2016-04-12",96.279999,97.529999,96.07,97.349998
"2016-04-13",98.029999,99.809998,97.959999,99.480003
"2016-04-14",99.790001,99.870003,98.260002,98.629997
"2016-04-15",98.5,98.889999,98.18,98.589996
"2016-04-18",99.599998,101.949997,99.5,101.480003
"2016-04-19",102,103.639999,101.93,102.639999
"2016-04-20",103.019997,103.480003,101.959999,103.269997
"2016-04-21",103.360001,104.120003,102.650002,102.910004
"2016-04-22",103.059998,103.989998,102.93,103.769997
"2016-04-25",103.5,104.620003,103.349998,104.57
"2016-04-26",104.580002,105.57,104.18,104.889999
"2016-04-27",105.190002,105.599998,104.760002,105.279999
"2016-04-28",104.540001,105.489998,103.800003,104.029999
"2016-04-29",103.949997,104.209999,102.400002,103.260002
"2016-05-02",103.300003,104.57,102.800003,104.360001
"2016-05-03",103.879997,103.989998,103.190002,103.779999
"2016-05-04",103.309998,104.480003,103.199997,103.669998
